Image,Feature,Value
image 4,Mean Intensity,40.57606745604593
image 4,Variance Intensity,11554.077367671089
image 4,Skewness Intensity,-4.583217639496971
image 4,Kurtosis Intensity,28.00243891367949
image 4,Median Intensity,63.0
image 4,Minimum Intensity,-962.0
image 4,10th Percentile Intensity,10.0
image 4,90th Percentile Intensity,98.0
image 4,Maximum Intensity,377.0
image 4,Interquartile Range Intensity,42.0
image 4,Intensity Range,1339.0
image 4,Mean Absolute Deviation,51.12007412033598
image 4,Intensity Robust Mean Absolute Deviation,17.782777167369925
image 4,Intensity Median Absolute Deviation,21.0
image 4,Intensity Coefficient Of Variation,2.6490959079459273
image 4,Intensity Quartile Coefficient Of Dispersion,0.3442622950819672
image 4,Intensity Energy,73579557.0
image 4,Root Mean Square Intensity,114.89340545857571
image 4,Standard Deviation Intensity,107.48989425834918
image 5,Mean Intensity,34.358255942074614
image 5,Variance Intensity,16393.090604356337
image 5,Skewness Intensity,-3.9711370736707896
image 5,Kurtosis Intensity,23.233218148415368
image 5,Median Intensity,60.0
image 5,Minimum Intensity,-879.0
image 5,10th Percentile Intensity,5.0
image 5,90th Percentile Intensity,100.0
image 5,Maximum Intensity,723.0
image 5,Interquartile Range Intensity,44.0
image 5,Intensity Range,1602.0
image 5,Mean Absolute Deviation,59.643424260520945
image 5,Intensity Robust Mean Absolute Deviation,18.789278938713263
image 5,Intensity Median Absolute Deviation,22.0
image 5,Intensity Coefficient Of Variation,3.7264844136680733
image 5,Intensity Quartile Coefficient Of Dispersion,0.3728813559322034
image 5,Intensity Energy,111644956.0
image 5,Root Mean Square Intensity,132.56538143775487
image 5,Standard Deviation Intensity,128.0355052489595
image 6,Mean Intensity,-4.1066666666666665
image 6,Variance Intensity,21634.163603495625
image 6,Skewness Intensity,-3.382549285059725
image 6,Kurtosis Intensity,15.368871861786872
image 6,Median Intensity,34.0
image 6,Minimum Intensity,-876.0
image 6,10th Percentile Intensity,-111.0
image 6,90th Percentile Intensity,81.0
image 6,Maximum Intensity,197.0
image 6,Interquartile Range Intensity,55.0
image 6,Intensity Range,1073.0
image 6,Mean Absolute Deviation,81.0424529338327
image 6,Intensity Robust Mean Absolute Deviation,25.60101423325536
image 6,Intensity Median Absolute Deviation,28.0
image 6,Intensity Coefficient Of Variation,-35.81629032105277
image 6,Intensity Quartile Coefficient Of Dispersion,0.8461538461538461
image 6,Intensity Energy,144520614.0
image 6,Root Mean Square Intensity,147.14288400941018
image 6,Standard Deviation Intensity,147.08556558512336
image 7,Mean Intensity,6.051168873630865
image 7,Variance Intensity,22473.781753170268
image 7,Skewness Intensity,-3.549207461664793
image 7,Kurtosis Intensity,16.697637354879358
image 7,Median Intensity,40.0
image 7,Minimum Intensity,-913.0
image 7,10th Percentile Intensity,-85.0
image 7,90th Percentile Intensity,95.0
image 7,Maximum Intensity,209.0
image 7,Interquartile Range Intensity,53.0
image 7,Intensity Range,1122.0
image 7,Mean Absolute Deviation,79.88100959415212
image 7,Intensity Robust Mean Absolute Deviation,24.44847138217167
image 7,Intensity Median Absolute Deviation,26.0
image 7,Intensity Coefficient Of Variation,24.774152482043835
image 7,Intensity Quartile Coefficient Of Dispersion,0.6385542168674698
image 7,Intensity Energy,137696107.0
image 7,Root Mean Square Intensity,150.03465732259153
image 7,Standard Deviation Intensity,149.9125803699285
image 8,Mean Intensity,11.60443792407849
image 8,Variance Intensity,19143.55139787314
image 8,Skewness Intensity,-3.917978659305468
image 8,Kurtosis Intensity,20.637422890912696
image 8,Median Intensity,39.0
image 8,Minimum Intensity,-948.0
image 8,10th Percentile Intensity,-38.0
